epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2609,0.86653,3.4635,1.16164,0.01684,0.86476,0.08034,0.05848,0.40099,3.42198,0.88141,3e-05,3e-05,3e-05
2,32.6342,0.74665,3.41095,1.0814,0.01855,0.96875,0.13949,0.11906,0.43146,3.37943,0.87128,6.96535e-05,6.96535e-05,6.96535e-05
3,47.7049,0.67184,3.27422,1.03342,0.01896,1,0.18802,0.17119,0.40696,3.30077,0.85603,0.000108911,0.000108911,0.000108911
4,62.8148,0.61424,3.01578,0.99965,0.01876,1,0.20056,0.17473,0.51405,3.25035,0.88507,0.000147772,0.000147772,0.000147772
5,77.886,0.61811,2.80429,1.01513,0.0188,1,0.20788,0.18476,0.45378,3.18926,0.8701,0.000186238,0.000186238,0.000186238
6,92.9328,0.59219,2.62907,0.98421,0.01889,1,0.22493,0.20455,0.42313,3.09361,0.84771,0.000224308,0.000224308,0.000224308
7,107.97,0.59964,2.50433,1.00417,0.01861,1,0.23344,0.2142,0.4427,3.00078,0.84929,0.000261981,0.000261981,0.000261981
8,123.43,0.65861,2.42802,1.06014,0.01772,1,0.22921,0.20712,0.47521,2.92822,0.86248,0.000299258,0.000299258,0.000299258
9,138.388,0.64461,2.2578,1.06122,0.01662,1,0.25473,0.22787,0.47345,2.85373,0.86591,0.00033614,0.00033614,0.00033614
10,153.334,0.67767,2.09079,1.05444,0.24513,0.40866,0.31197,0.27895,0.47858,2.74693,0.87704,0.000372625,0.000372625,0.000372625
11,168.398,0.61094,1.9808,1.04765,0.34548,0.28325,0.38444,0.33872,0.50577,2.62689,0.88993,0.000408715,0.000408715,0.000408715
12,183.479,0.6587,1.86051,1.06973,0.46675,0.33058,0.42509,0.34453,0.63866,2.73876,1.01503,0.000444408,0.000444408,0.000444408
13,198.62,0.65304,1.77579,1.05136,0.41206,0.43586,0.42583,0.3504,0.63557,2.69172,1.02604,0.000479706,0.000479706,0.000479706
14,213.753,0.65856,1.68355,1.06314,0.37954,0.43385,0.44167,0.35548,0.61687,2.66131,1.0191,0.000514608,0.000514608,0.000514608
15,228.789,0.6193,1.54171,1.01823,0.4693,0.59477,0.53026,0.4625,0.53909,2.14691,0.9329,0.000549113,0.000549113,0.000549113
16,243.781,0.6178,1.4614,1.0497,0.4874,0.59517,0.5555,0.49228,0.51711,2.10327,0.92369,0.000583223,0.000583223,0.000583223
17,258.833,0.57337,1.35021,1.00906,0.4896,0.58392,0.57793,0.50575,0.51149,2.10128,0.91825,0.000616936,0.000616936,0.000616936
18,273.879,0.61122,1.29274,1.04452,0.72374,0.57502,0.69099,0.60484,0.55615,2.00803,0.95199,0.000650254,0.000650254,0.000650254
19,288.938,0.58184,1.21761,1.00773,0.67098,0.6134,0.70753,0.61519,0.59751,2.00445,0.96373,0.000683175,0.000683175,0.000683175
20,304.033,0.57317,1.18084,1.02069,0.6574,0.57879,0.71,0.61821,0.59863,2.03597,0.9653,0.000715701,0.000715701,0.000715701
21,319.09,0.64224,1.19816,1.04418,0.53767,0.62985,0.70155,0.61071,0.53735,1.92208,0.93193,0.00074783,0.00074783,0.00074783
22,334.131,0.57683,1.07886,1.00949,0.55586,0.67222,0.7053,0.60524,0.58582,1.87136,0.9724,0.000779563,0.000779563,0.000779563
23,349.31,0.56124,1.01136,0.97597,0.65395,0.7922,0.7794,0.65023,0.62368,1.70062,1.0037,0.000810901,0.000810901,0.000810901
24,364.887,0.594,0.97063,1.01619,0.72393,0.74848,0.82418,0.7028,0.6147,1.61645,1.0166,0.000841842,0.000841842,0.000841842
25,380.013,0.59947,0.94375,0.99192,0.75952,0.68748,0.8106,0.67791,0.62743,1.68325,1.00886,0.000872388,0.000872388,0.000872388
26,394.975,0.55564,1.00491,0.99261,0.76506,0.74419,0.7914,0.67724,0.58607,1.74126,0.98743,0.00087625,0.00087625,0.00087625
27,410.033,0.54291,0.88523,0.99236,0.78294,0.70892,0.81268,0.71715,0.53264,1.63977,0.96118,0.0008713,0.0008713,0.0008713
28,425.302,0.54007,0.93876,0.97407,0.79746,0.75929,0.84156,0.74301,0.47819,1.43881,0.91946,0.00086635,0.00086635,0.00086635
29,440.528,0.51709,0.85032,0.95852,0.80798,0.80289,0.88051,0.76329,0.52055,1.25217,0.92513,0.0008614,0.0008614,0.0008614
30,455.788,0.53136,0.87131,0.97112,0.8358,0.80997,0.90093,0.79117,0.51519,1.16066,0.92088,0.00085645,0.00085645,0.00085645
31,470.93,0.55639,0.83697,0.99004,0.84094,0.85694,0.92268,0.82776,0.47061,1.14887,0.90139,0.0008515,0.0008515,0.0008515
32,486.117,0.55839,0.92064,0.9949,0.76953,0.86141,0.92137,0.82696,0.4705,1.31407,0.89899,0.00084655,0.00084655,0.00084655
33,501.264,0.52658,0.84276,0.94207,0.73502,0.81394,0.86697,0.77906,0.50792,1.57776,0.91674,0.0008416,0.0008416,0.0008416
34,516.41,0.54528,0.82464,0.95639,0.72195,0.84032,0.83461,0.74299,0.51348,1.54384,0.92173,0.00083665,0.00083665,0.00083665
35,531.582,0.53113,0.81089,0.96722,0.71426,0.82792,0.8565,0.7714,0.4901,1.34274,0.91829,0.0008317,0.0008317,0.0008317
36,546.752,0.52586,0.83927,0.96819,0.78816,0.78575,0.85969,0.77941,0.49181,1.3142,0.92009,0.00082675,0.00082675,0.00082675
37,561.906,0.53056,0.81663,0.96366,0.76371,0.78642,0.85424,0.77497,0.48576,1.27684,0.92535,0.0008218,0.0008218,0.0008218
38,577.054,0.47908,0.74245,0.93306,0.76891,0.80424,0.86932,0.77685,0.50012,1.285,0.94201,0.00081685,0.00081685,0.00081685
39,592.259,0.50248,0.76243,0.9347,0.73082,0.83581,0.86409,0.76603,0.49622,1.3197,0.95923,0.0008119,0.0008119,0.0008119
40,607.568,0.47495,0.73312,0.91862,0.68482,0.83513,0.8674,0.75442,0.51886,1.29861,0.95879,0.00080695,0.00080695,0.00080695
41,622.825,0.52896,0.75769,0.97759,0.75451,0.84998,0.88682,0.77189,0.53023,1.20699,0.95212,0.000802,0.000802,0.000802
42,638.034,0.49281,0.76144,0.94778,0.79259,0.91363,0.912,0.79911,0.49713,1.11428,0.93533,0.00079705,0.00079705,0.00079705
43,653.18,0.47766,0.72187,0.93041,0.8496,0.88502,0.9117,0.80191,0.50359,1.06379,0.926,0.0007921,0.0007921,0.0007921
44,668.386,0.47583,0.69692,0.94736,0.81328,0.91319,0.9025,0.79531,0.51437,1.06772,0.92328,0.00078715,0.00078715,0.00078715
45,873.757,0.52309,0.73663,0.97268,0.79702,0.90734,0.90056,0.7969,0.52574,1.08512,0.94363,0.0007822,0.0007822,0.0007822
46,889.308,0.45944,0.69554,0.91576,0.82367,0.8486,0.89361,0.79435,0.51586,1.09758,0.94764,0.00077725,0.00077725,0.00077725
47,904.512,0.48592,0.72573,0.95051,0.73628,0.88151,0.88394,0.77438,0.52927,1.13223,0.95972,0.0007723,0.0007723,0.0007723
48,919.617,0.48646,0.69317,0.95118,0.83659,0.81177,0.8916,0.78915,0.54846,1.1369,0.97235,0.00076735,0.00076735,0.00076735
49,935.284,0.48749,0.6787,0.9286,0.85446,0.79074,0.89426,0.8032,0.51515,1.10654,0.955,0.0007624,0.0007624,0.0007624
50,950.49,0.49196,0.68602,0.91565,0.88047,0.82004,0.90452,0.81689,0.49116,1.04635,0.9343,0.00075745,0.00075745,0.00075745
51,965.759,0.49041,0.70016,0.94216,0.91175,0.82981,0.92231,0.82611,0.47693,1.01444,0.91254,0.0007525,0.0007525,0.0007525
52,980.849,0.4762,0.64095,0.93577,0.96329,0.80413,0.92205,0.82263,0.47397,0.96195,0.90557,0.00074755,0.00074755,0.00074755
53,995.909,0.47812,0.64377,0.90935,0.93342,0.80382,0.92352,0.829,0.46178,0.96011,0.90194,0.0007426,0.0007426,0.0007426
54,1011.02,0.48274,0.65319,0.92722,0.92453,0.81076,0.92189,0.83736,0.46288,0.95635,0.90532,0.00073765,0.00073765,0.00073765
55,1026.71,0.43582,0.64432,0.91993,0.87229,0.84216,0.91591,0.82992,0.44817,0.96737,0.89935,0.0007327,0.0007327,0.0007327
56,1041.81,0.48203,0.65066,0.94288,0.91901,0.85908,0.91205,0.84447,0.43511,0.95888,0.89949,0.00072775,0.00072775,0.00072775
57,1056.88,0.4454,0.66734,0.91591,0.94326,0.84665,0.90774,0.8315,0.4419,0.93582,0.90697,0.0007228,0.0007228,0.0007228
58,1072.39,0.46852,0.63975,0.92994,0.93864,0.85634,0.91858,0.83213,0.45095,0.93912,0.91299,0.00071785,0.00071785,0.00071785
59,1087.79,0.47538,0.67065,0.92568,0.91834,0.88917,0.91876,0.83579,0.44743,0.92742,0.92206,0.0007129,0.0007129,0.0007129
60,1102.8,0.42646,0.63029,0.91731,0.91448,0.88812,0.92583,0.83769,0.44714,0.91148,0.93112,0.00070795,0.00070795,0.00070795
61,1118.07,0.44258,0.63941,0.92149,0.92214,0.89839,0.92919,0.84157,0.44327,0.90336,0.93252,0.000703,0.000703,0.000703
62,1133.37,0.43572,0.61799,0.92564,0.92942,0.86639,0.92929,0.83799,0.44638,0.89576,0.93874,0.00069805,0.00069805,0.00069805
63,1148.45,0.45336,0.63361,0.92654,0.94906,0.86052,0.92916,0.84369,0.45368,0.86677,0.93938,0.0006931,0.0006931,0.0006931
64,1163.85,0.46043,0.63934,0.93222,0.96242,0.84438,0.93788,0.84903,0.45918,0.8524,0.93714,0.00068815,0.00068815,0.00068815
65,1179.06,0.46776,0.62563,0.94199,0.94743,0.83116,0.94017,0.85049,0.45142,0.90285,0.91941,0.0006832,0.0006832,0.0006832
66,1194.17,0.43129,0.59873,0.90166,0.87987,0.87491,0.9401,0.84877,0.44506,0.9342,0.91899,0.00067825,0.00067825,0.00067825
67,1209.4,0.45199,0.62348,0.91149,0.90774,0.86318,0.93822,0.85155,0.45205,0.93732,0.91615,0.0006733,0.0006733,0.0006733
68,1224.61,0.42715,0.59758,0.90969,0.93969,0.85598,0.9504,0.85582,0.45231,0.90237,0.92081,0.00066835,0.00066835,0.00066835
69,1239.74,0.42387,0.59232,0.91888,0.90534,0.88518,0.94732,0.86494,0.44869,0.87936,0.91688,0.0006634,0.0006634,0.0006634
70,1254.83,0.40408,0.55302,0.90042,0.91548,0.88587,0.93163,0.84388,0.43916,0.88578,0.91053,0.00065845,0.00065845,0.00065845
71,1270.17,0.44559,0.60204,0.92535,0.89564,0.90477,0.92782,0.84513,0.42935,0.88776,0.90807,0.0006535,0.0006535,0.0006535
72,1285.43,0.42712,0.55677,0.90938,0.90219,0.88969,0.93433,0.8548,0.42746,0.86633,0.90683,0.00064855,0.00064855,0.00064855
73,1300.65,0.43052,0.5599,0.92868,0.9051,0.88659,0.94512,0.86477,0.43668,0.86013,0.90685,0.0006436,0.0006436,0.0006436
74,1315.82,0.41454,0.57445,0.91808,0.87909,0.90592,0.94734,0.85741,0.45612,0.87289,0.90999,0.00063865,0.00063865,0.00063865
75,1331.81,0.45083,0.60044,0.92747,0.87959,0.91591,0.95357,0.86741,0.43929,0.87321,0.89792,0.0006337,0.0006337,0.0006337
76,1348,0.44566,0.60521,0.91145,0.92532,0.86204,0.95737,0.87341,0.42247,0.85794,0.89324,0.00062875,0.00062875,0.00062875
77,1364.21,0.41471,0.55382,0.90393,0.9249,0.85928,0.95579,0.87243,0.42379,0.8549,0.89678,0.0006238,0.0006238,0.0006238
78,1381.62,0.41623,0.5548,0.89925,0.9543,0.83814,0.95608,0.86614,0.43554,0.84028,0.90578,0.00061885,0.00061885,0.00061885
79,1398.4,0.39678,0.57507,0.91523,0.94479,0.84595,0.95583,0.86229,0.44344,0.83136,0.91422,0.0006139,0.0006139,0.0006139
80,1415.15,0.41907,0.58539,0.92377,0.95281,0.84992,0.95598,0.86315,0.43305,0.81452,0.91031,0.00060895,0.00060895,0.00060895
81,1431.62,0.40878,0.54976,0.91523,0.9394,0.87662,0.96169,0.88381,0.42843,0.80311,0.90478,0.000604,0.000604,0.000604
82,1446.68,0.38862,0.55863,0.92921,0.97913,0.84663,0.96394,0.87848,0.43694,0.82196,0.91293,0.00059905,0.00059905,0.00059905
83,1462.7,0.43901,0.5709,0.94161,0.92838,0.90099,0.96704,0.8756,0.44512,0.82299,0.91354,0.0005941,0.0005941,0.0005941
84,1478.64,0.4049,0.56838,0.9225,0.91496,0.90068,0.96549,0.86955,0.43468,0.83246,0.91141,0.00058915,0.00058915,0.00058915
85,1493.71,0.38912,0.54418,0.89156,0.92406,0.87398,0.95571,0.86657,0.44141,0.85602,0.91557,0.0005842,0.0005842,0.0005842
86,1508.91,0.39102,0.53249,0.90336,0.9028,0.86994,0.94377,0.84626,0.44686,0.89252,0.914,0.00057925,0.00057925,0.00057925
87,1524.32,0.39227,0.53261,0.91337,0.92423,0.82823,0.9297,0.84298,0.43439,0.92637,0.91044,0.0005743,0.0005743,0.0005743
88,1539.51,0.40237,0.53376,0.90608,0.92818,0.83689,0.9105,0.82106,0.44021,0.94704,0.91682,0.00056935,0.00056935,0.00056935
89,1555.12,0.43688,0.56258,0.92978,0.93395,0.81532,0.9079,0.81672,0.43937,0.92174,0.91473,0.0005644,0.0005644,0.0005644
90,1570.2,0.38743,0.52072,0.90416,0.9359,0.80869,0.91486,0.82532,0.43774,0.87507,0.91651,0.00055945,0.00055945,0.00055945
91,1585.25,0.40646,0.55421,0.90611,0.95106,0.81338,0.9236,0.83621,0.42869,0.84071,0.90983,0.0005545,0.0005545,0.0005545
92,1600.48,0.39474,0.54035,0.90393,0.86012,0.87287,0.92951,0.83787,0.42833,0.83433,0.90608,0.00054955,0.00054955,0.00054955
93,1615.62,0.40222,0.52615,0.89473,0.88738,0.83269,0.92868,0.83546,0.42772,0.84226,0.90082,0.0005446,0.0005446,0.0005446
94,1630.77,0.39311,0.50456,0.88961,0.89034,0.84972,0.93159,0.85263,0.41103,0.83442,0.89568,0.00053965,0.00053965,0.00053965
95,1645.73,0.38614,0.53451,0.90894,0.90831,0.84828,0.93546,0.84874,0.41597,0.83452,0.89651,0.0005347,0.0005347,0.0005347
96,1660.85,0.38586,0.51702,0.90088,0.86609,0.90619,0.94011,0.85495,0.42173,0.83015,0.89274,0.00052975,0.00052975,0.00052975
97,1675.91,0.39283,0.51896,0.90548,0.91628,0.85887,0.94242,0.84996,0.43565,0.83255,0.89746,0.0005248,0.0005248,0.0005248
98,1690.69,0.40506,0.5366,0.8947,0.93176,0.82878,0.94108,0.84645,0.43465,0.81508,0.90099,0.00051985,0.00051985,0.00051985
99,1705.68,0.37601,0.51346,0.89364,0.92232,0.85103,0.94344,0.8433,0.43503,0.80082,0.89886,0.0005149,0.0005149,0.0005149
